CTF ids,CTF URLs,Rating,Tags,Task Id,Task Name,Competition,Title
2442,https://0x90r00t.com/2016/02/03/hackim-2016prog-134-200300400-write-up/,,,1988,Programming 3, HackIM 2016 ,CTFtime.org / HackIM 2016 / Programming 3 / Writeup
8685,https://github.com/YuryDo/writeups/tree/master/SharifCTF8/Forensic200,,forensics,5248,Stolen Flag, SharifCTF 8 ,CTFtime.org / SharifCTF 8 / Stolen Flag / Writeup
2425,https://github.com/tyhan/CTF/tree/master/SharifCTF2016/URE,,,2029,Universal ReEncryption, Sharif University CTF 2016 ,CTFtime.org / Sharif University CTF 2016 / Universal ReEncryption / Writeup
2498,https://github.com/ctfs/write-ups-2016/tree/master/breakin-ctf-2016/steganography/eighth-circles-of-hell-200,,,1978,Eigth Circles of Hell, Break In 2016 ,CTFtime.org / Break In 2016 / Eigth Circles of Hell / Writeup
2241,https://github.com/p4-team/ctf/tree/master/2015-12-27-32c3/hd44780_embedded_150#eng-version,,hardware,1953,HD44780, 32C3 CTF ,CTFtime.org / 32C3 CTF / HD44780 / Writeup
2337,http://h4ckx0re-ctf-crew.co.nf/2016/01/31/hackim-ctf-2016-crypto-5/,,python,1996,Crypto 5, HackIM 2016 ,CTFtime.org / HackIM 2016 / Crypto 5 / Writeup
10310,https://github.com/BOAKGP/CTF-Writeups/tree/master/Google%20CTF%202018%20Quals%20Beginners%20Quest/Router%20UI,5,,6257,Beginner&#39;s Quest - Router UI, Google Capture The Flag 2018 (Quals) ,CTFtime.org / Google Capture The Flag 2018 (Quals) / Beginner&#39;s Quest - Router UI / Writeup
6548,https://github.com/kuqadk3/CTF-and-Learning/tree/master/YUBITSEC%202017/MISC/50%20-%20Leader,1,,4044,Leader, YUBITSEC CTF 2017 ,CTFtime.org / YUBITSEC CTF 2017 / Leader / Writeup
1457,https://github.com/smokeleeteveryday/CTF_WRITEUPS/tree/master/2015/ASISCTF/reversing/leach,,,1500,Leach, ASIS CTF Quals 2015 ,CTFtime.org / ASIS CTF Quals 2015 / Leach / Writeup
2892,https://github.com/d0tslashpwn/write-ups/blob/master/Sunshine-CTF-2016/write-ups/dance.md,,reverse engineering,2140,Dance, Sunshine CTF 2016 ,CTFtime.org / Sunshine CTF 2016 / Dance / Writeup
167,http://hackucf.org/blog/phdays-2012-pwn-300/,,,178,Pwn 300, PHD CTF Quals 2012 ,CTFtime.org / PHD CTF Quals 2012 / Pwn 300 / Writeup
8426,,,3dsctf,5088,Bit Map,"  The 318br, DESEC and SucuriHC Capture The Flag (3DSCTF) ","CTFtime.org /  The 318br, DESEC and SucuriHC Capture The Flag (3DSCTF) / Bit Map / Writeup"
2243,http://blukat29.github.io/2015/12/32c3ctf-blobberry/,,,1955,blobberry, 32C3 CTF ,CTFtime.org / 32C3 CTF / blobberry / Writeup
5777,https://nacayoshi00.wordpress.com/2017/02/24/bsides-san-francisco-ctf-writeup/,,,3451,easyarm, BSides San Francisco CTF ,CTFtime.org / BSides San Francisco CTF / easyarm / Writeup
